1,48.235931,11.539261,"A92 AD München-Feldmoching-AK Neufahrn. BW1/1M","Autobahn","NA","Wand","NA","NA","beidseitig",,"Gewässerunterführung",,"Unterführung Würmkanal"
2,48.252118,11.530929,"A92 AD München-Feldmoching-AK Neufahrn. BW3/4s Schleißheimer Kanal","Autobahn","NA","Wand","NA","NA","beidseitig",,"Gewässerunterführung",,"Unterführung Schleißheimer Kanal"
3,48.252611,11.529642,"A92 AD München-Feldmoching - B471","Bundesstraße","NA","Wand","NA","NA","beidseitig",,"Gewässerunterführung",,"Unterführung Schwebelbach"
4,50.901983,12.71723,"S241 Niederfrohna","Staatsstraße",2,"Wand","NA","NA","beidseitig",,"Gewässerunterführung",,"Frohnbach - Kollisionsschutzwände auf Frohnbachtalbrücke "
5,51.550989,12.964769,"B 87 Torgau Bw 1 und 2 F ","Bundesstraße",2,"Zaun","NA",45,"beidseitig",,"Gewässerunterführung",,"Gewässer-Rohrdurchlass"
6,51.243429,12.488191,"S 242 Bw 1 und 2 F Störmthal","Staatsstraße",2,"Zaun","NA","NA","beidseitig",,"Gewässerunterführung",,"Schlumperbach"
7,50.393502,10.092399,"B279 OU Wegfurt","Bundesstraße",3,"NA","NA",60,"beidseitig",,"Gewässerunterführung",,"Weisbach"
8,50.881234,6.619853,"A4 Düren Bereich Waldgebiet Steinheide","Autobahn",6,"Wand",4,375,"beidseitig",,"keine Unterführung",,"und Mittelstreifen (Zaun)- im Osten anschließen Zaun beidseitig (745m) bis Grünbrücke) "
9,51.39451,10.295665,"A38 AS Friedland - AS Leinefelde-Worbis","Autobahn",4,"Zaun",4,1200,"beidseitig",,"keine Unterführung",,"zwei Unterführungen entlang der Strecke"
10,51.464012,7.267674,"A448 Bochum-Witten - Bochum-Altenbochum","Autobahn",4,"Zaun",4,985,"beidseitig",,"keine Unterführung",,"Teilbereich schon gebaut- Mittelstreifen Zaun "
11,52.404368,11.638138,"A14 Colbitz - Dolle ","Autobahn","NA","Zaun","NA","NA","beidseitig",,"keine Unterführung","fraglich","Fledermauskollisionsschutzzäunen- Autobahn noch im Bau? "
12,52.335583,9.273328,"B65 bei Kobbensen","Bundesstraße",2,"Zaun","NA",120,"beidseitig",,"keine Unterführung",,"Brücke über Bundesstraße (Flurweg wird übergeführt)"
13,51.005213,14.684267,"B 178 FSW 3.2-22 und 3.2-23 bei Ruppersdorf","Bundesstraße",3,"Zaun","NA",800,"beidseitig",,"keine Unterführung",,"im Anschluss sind Brückenbauwerke (Zäune zwischen Brücken)"
